s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
238.2087813,89655.8459692,43174.9137713,1.8045201,-0.0438881,10.2122899,4.8111366
239.2004168,89654.8766143,43174.7047450,1.7864660,0.0066532,10.6725796,4.7660752
240.1885754,89653.9120509,43174.4900944,1.8145458,0.0520421,11.1097709,3.9490981
241.1408227,89652.9941669,43174.2365909,1.8641944,0.0483321,11.4593921,-6.0598767
242.1310793,89652.0530687,43173.9284638,1.9032491,0.0306824,10.9183094,-8.8233541
243.1766268,89651.0700684,43173.5722617,1.9295384,0.0217557,10.0786712,-8.8801923
244.1967455,89650.1190265,43173.2032611,1.9623943,0.0422960,9.1562098,-6.8376105
245.2124771,89649.1887673,43172.7954272,2.0231806,0.0793140,8.3769928,-4.1918301
246.2009837,89648.3178235,43172.3278780,2.1321344,0.1301266,7.8611926,-4.1553060
247.2554644,89647.4631094,43171.7103075,2.2730500,0.1486861,7.3140734,-3.7659384
248.2842220,89646.7322783,43170.9862716,2.4167394,0.1450539,6.7801903,-5.2978539
249.1827755,89646.1883635,43170.2710408,2.6070400,0.2361457,5.9485616,-0.1643299
250.1598087,89645.7826147,43169.3822428,2.8247199,0.2240330,5.9208985,-0.1643299
251.1521167,89645.5784675,43168.4111614,3.0637460,0.2729883,5.8931055,4.5238641
252.0972275,89645.6332675,43167.4676407,-2.9971864,0.1662446,6.6157226,4.7354941
253.1352608,89645.8628828,43166.4553216,-2.8295264,0.1787042,7.2958711,2.1522364
254.1302189,89646.2548694,43165.5408337,-2.6585185,0.1585978,7.5848599,2.4980708
255.1144008,89646.7793660,43164.7080568,-2.5324077,0.0909309,7.9070521,5.0069306
256.1506191,89647.4097216,43163.8856213,-2.4666712,0.0432895,8.5162068,4.9600354
257.1196194,89648.0320041,43163.1428386,-2.4184035,0.0515122,9.0794483,4.9135795
258.1226506,89648.7143497,43162.4076678,-2.3562251,0.0726145,9.6049030,4.8675586
259.1475033,89649.4649188,43161.7098362,-2.2749199,0.0917558,10.0985141,1.8933892
260.1254200,89650.2392080,43161.1125111,-2.1778704,0.1006071,10.2841214,-1.3280930
261.1192501,89651.0823627,43160.5864041,-2.0752833,0.1049035,10.1542849,-1.6061146
262.1363600,89651.9971807,43160.1418589,-1.9708854,0.1058794,9.9950156,-1.5614249
263.1228103,89652.9250980,43159.8071147,-1.8668532,0.1008055,9.8377064,-2.5420407
264.1175884,89653.8898509,43159.5645546,-1.7680259,0.0971475,9.5760764,-3.4190396
265.1277476,89654.8888339,43159.4147064,-1.6689087,0.0974790,9.2124744,-3.9461265
266.1691306,89655.9289742,43159.3638469,-1.5682439,0.0962879,8.7741076,-4.8372635
267.2365061,89656.9948673,43159.4200820,-1.4681541,0.1000025,8.2048565,-4.9564268
268.2347152,89657.9809490,43159.5752090,-1.3537377,0.1317381,7.5773529,-0.2666414
269.1605368,89658.8699802,43159.8336062,-1.1819190,0.2006327,7.5421153,-0.2666414
270.2154163,89659.8047324,43160.3224918,-1.0350470,0.1161021,7.5067123,1.7476310
271.1428228,89660.5717087,43160.8438651,-0.9147584,0.1276914,7.7358035,-2.4451999
272.0665996,89661.2690746,43161.4497070,-0.8019910,0.1024712,7.4132937,-0.2552202
273.1107231,89661.9843291,43162.2103678,-0.6629451,0.1987382,7.3788190,-0.2552202
274.0322311,89662.4730439,43162.9916071,-0.5108657,0.0956192,7.3441825,5.0471702
275.0387257,89662.9259927,43163.8904223,-0.4534147,0.0248367,8.0013576,4.9998982
276.1161137,89663.3857869,43164.8647704,-0.4486320,-0.0142311,8.6030213,4.9530689
277.2005631,89663.8636258,43165.8382695,-0.4684811,-0.0236333,9.1601670,-6.7439060
278.2315302,89664.3408897,43166.7521143,-0.4953378,-0.0309364,8.3924800,-9.4218818
279.1392849,89664.7850531,43167.5437818,-0.5493897,-0.0748268,7.1838667,-0.2396675
280.1574957,89665.3459142,43168.3935983,-0.6833657,-0.2097850,7.1504589,-0.2396675
281.1093334,89666.0223047,43169.0632929,-0.8859991,-0.2048730,7.1168944,1.5790135
282.0414319,89666.7983037,43169.5796583,-1.0582599,-0.1453662,7.3352027,4.1938216
283.0668913,89667.7240105,43170.0208316,-1.2113442,-0.1614423,7.8857363,0.6592288
284.1221433,89668.7391573,43170.3089874,-1.3878133,-0.1817597,7.9688165,-0.2976658
285.1505499,89669.7636802,43170.3982786,-1.5578719,-0.1503625,7.9314105,2.3563817
286.1340698,89670.7451569,43170.3349153,-1.6970753,-0.1293679,8.2228668,3.2558456
287.0890195,89671.6829324,43170.1546209,-1.8347132,-0.1540002,8.6093562,-0.2668779
288.0488814,89672.5886395,43169.8367695,-1.9823080,-0.1435634,8.5783313,0.6577601
289.0788052,89673.5019546,43169.3607457,-2.0945990,-0.0901450,8.6545961,4.9488967
290.0399748,89674.3110394,43168.8418731,-2.1762420,-0.0684191,9.2081692,4.9025451
291.0688619,89675.1373286,43168.2288032,-2.2463491,-0.0721989,9.7255392,4.8566276
292.0996631,89675.9172295,43167.5547812,-2.3290683,-0.0904412,10.2122524,1.8172215
293.1070049,89676.6155004,43166.8287265,-2.4253607,-0.1007895,10.3885068,0.4825487
294.0920618,89677.2236839,43166.0538395,-2.5240784,-0.0957306,10.4348095,0.9451921
295.0930542,89677.7641436,43165.2112904,-2.6105723,-0.0805897,10.5249147,2.6975357
296.0687686,89678.2239207,43164.3506954,-2.6860353,-0.0700501,10.7779289,3.3723437
297.0711937,89678.6339293,43163.4359556,-2.7541103,-0.0668155,11.0861176,3.2630606
298.0855520,89678.9855471,43162.4844895,-2.8230569,-0.0681115,11.3763744,2.5554720
299.1263186,89679.2771516,43161.4854090,-2.8920398,-0.0668537,11.5986189,0.0973687
